Serial,Names,Short Names,Price,24h Change,Volume
1,Bitcoin,BTC,"$26,540.61",+2.35%,$17.67 B
2,Ethereum,ETH,"$1,686.25",+3.15%,$8.49 B
3,Tether,USDT,$0.9996,-0.01%,$27.49 B
4,BNB,BNB,$217.80,+5.85%,$660.48 M
5,XRP,XRP,$0.5318,+4.10%,$1.13 B
6,USD Coin,USDC,$1.00,+0.01%,$4.18 B
7,Cardano,ADA,$0.2673,+4.82%,$211.2 M
8,Dogecoin,DOGE,$0.06423,+4.29%,$323.78 M
9,Solana,SOL,$21.37,+4.55%,$446.17 M
10,TRON,TRX,$0.07743,+3.20%,$202.53 M
11,Polkadot,DOT,$4.51,+3.77%,$108.26 M
12,Dai,DAI,$1.00,+0.11%,$137.07 M
13,Polygon,MATIC,$0.5633,+5.93%,$328.28 M
14,Shiba Inu,SHIB,$0.000008415,+6.28%,$229.49 M
15,Toncoin,TON,$1.42,+5.56%,$29.98 M
16,Litecoin,LTC,$66.32,+1.49%,$368.43 M
17,Bitcoin Cash,BCH,$194.06,+5.16%,$161.82 M
18,UNUS SED LEO,LEO,$3.87,+2.61%,"$546,338"
19,Avalanche,AVAX,$10.41,+4.68%,$108.06 M
20,Stellar,XLM,$0.1271,+6.88%,$122.4 M
21,Chainlink,LINK,$6.40,+5.53%,$232.57 M
22,Binance USD,BUSD,$1.00,+0.03%,$1.28 B
23,Uniswap,UNI,$4.83,+4.51%,$126.87 M
24,TrueUSD,TUSD,$1.00,-0.07%,$2.55 B
25,OKB,OKB,$44.20,+3.09%,$2.99 M
26,Monero,XMR,$143.54,-2.21%,$65.68 M
27,Cosmos,ATOM,$7.50,+2.81%,$99.86 M
28,Ethereum Classic,ETC,$16.13,+5.56%,$109.88 M
29,Hedera,HBAR,$0.06128,+3.19%,$119.19 M
30,Internet Computer,ICP,$3.57,+5.04%,$31.04 M
31,Filecoin,FIL,$3.46,+3.01%,$95.76 M
32,Lido DAO Token,LDO,$1.72,+6.79%,$72.39 M
33,Aptos,APT,$6.11,+5.54%,$105.62 M
34,Mantle,MNT,$0.4251,+1.08%,$12.72 M
35,Cronos,CRO,$0.0519,+0.14%,$7.53 M
36,Arbitrum,ARB,$1.02,+5.73%,$182.46 M
37,Quant,QNT,$100.30,+0.42%,$15.3 M
38,VeChain,VET,$0.01644,+4.09%,$25.35 M
39,Optimism,OP,$1.60,+2.79%,$155.22 M
40,NEAR Protocol,NEAR,$1.22,+8.69%,$86.73 M
41,Maker,MKR,"$1,056.00",-0.99%,$83.9 M
42,Wrapped EOS,WEOS,$0.8758,+1.17%,N/A
